Znumber,smiles
Z1201618106,CN1C(=O)OC(C)(C)C1=O
Z99599698,CCC1(C)CC(=O)NC(=O)C1
Z1222399234,N[C@@H](CSCC(=O)O)C(=O)O
Z1089994842,CN=C(NC)NCc1ccccc1
Z56871821,Nc1c2ccccc2nc2ccccc12
Z56347248,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
Z1695772815,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1
Z1954804578,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1
Z203045352,O=S(=O)(O)c1ccc2nc(-c3ccccc3)[nH]c2c1
Z1530532755,O=C(CCCCCCC(=O)Nc1ccccc1)NO
Z104474964,CCCCCCCCCCCCCCCCCC(=O)O
Z2210694608,Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1
Z1514087129,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1
Z1544404943,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2
Z2037279473,CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1
Z1541759502,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1
Z1614451557,Cc1nnc(C(C)C)n1C1C[C@H]2CC[C@@H](C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1
Z1248763315,O=C(OCCOCCO)c1ccccc1Nc1cccc(C(F)(F)F)c1
Z1954805523,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
Z1889837352,c1cc(CN2CCCNCCNCCCNCC2)ccc1CN1CCCNCCNCCCNCC1
Z2185279095,COc1ccc(C[C@@H]2c3cc(OC)c(OC)cc3CC[N@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@@+]2(C)CCc3cc(OC)c(OC)cc3[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC
Z1541759909,CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC
Z2588038907,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O
Z3207130668,CN1[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12
Z1515385076,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
Z2044782386,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-]
Z2301684749,CN1CCc2nc(C(=O)N[C@@H]3C[C@@H](C(=O)N(C)C)CC[C@@H]3NC(=O)C(=O)Nc3ccc(Cl)cn3)sc2C1
Z2312950560,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1
Z104476418,OCc1ccccc1
Z57183224,O=c1[nH]c2cc(Cl)ccc2o1
Z1255415481,C[N+](C)(C)CCOC(N)=O
Z2050038784,C[C@H](N)[C@H](O)c1cccc(O)c1
Z1198150037,CN1CCC[C@H]1c1cccnc1
Z223042524,NS(=O)(=O)Cc1noc2ccccc12
Z1255488813,Cc1ccc(-c2ccc(C)cn2)nc1
Z1617901127,Cc1cccc([C@H](C)c2c[nH]cn2)c1C
Z90121066,CC(C)NCC(O)COc1cccc2ccccc12
Z1546616194,C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O
Z1515385077,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1
Z608353988,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1
Z1537384907,Cc1ccnc(NC(=O)C(C)c2cccc(C(=O)c3ccccc3)c2)c1
Z56768517,O=S1(=O)OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21
Z56785257,COc1ccc2c(c1)C(=O)N(CCc1ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc1)C(=O)C2(C)C
Z2242164637,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O
Z608353996,CN[C@@H]1[C@H](O)[C@H](NC)[C@H]2O[C@@]3(O)C(=O)C[C@@H](C)O[C@H]3O[C@@H]2[C@H]1O
Z195110238,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1
Z2183947556,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O
Z1511483977,C[C@H]1[C@H](NC(=O)C(=NOC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O
Z2756516761,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21
Z2791720087,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21
Z2235811339,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2
Z1544404032,Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O
Z1501485368,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1
Z104474028,COc1ccccc1O
Z756440050,CSCC[C@H](N)C(=O)O
Z103710848,C#CCN(C)Cc1ccccc1
Z1255435426,CC[C@@H](C(N)=O)N1CCCC1=O
Z57727844,CC(C)(Oc1ccc(Cl)cc1)C(=O)O
Z1201620684,Cn1nnc2c(C(N)=O)ncn2c1=O
Z1255415511,COc1ccccc1OCC(O)CO
Z56828371,Cc1cccc(C)c1NC1=NCCCS1
Z1741981540,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)O
Z1416254508,CC(C)NCC(O)c1ccc(O)c(O)c1
Z955123630,CC(C)NCC(O)c1cc(O)cc(O)c1
Z1541632803,N=C(N)NC(=O)c1nc(Cl)c(N)nc1N
Z1546610483,CC(c1cc2ccccc2s1)N(O)C(N)=O
Z104472374,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
Z1521554005,NC(=O)OCC(COC(N)=O)c1ccccc1
Z138288808,CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1
Z1266873958,O=C1NCC2(CCN(CCc3ccccc3)CC2)O1
Z2037281108,CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3
Z1557494602,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1
Z1172207721,O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-]
Z1741977993,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1
Z1718280150,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O
Z1511495258,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1
Z1521553846,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
Z1521553721,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C
Z2583205878,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1
Z2146566713,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O
Z2680630178,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
Z2953646389,Nc1nc2[nH]cc(CCc3ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc3)c2c(=O)[nH]1
Z1954806063,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1
Z1521553843,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
Z1741978506,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1
Z2185283535,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C
Z2756516943,CCCCOc1ccc(OCCCN2CCOCC2)cc1
Z68590124,NC(=O)c1ccccc1O
Z104500108,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O
Z754931262,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
Z2588039022,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
Z2587996953,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
Z2756516872,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
Z1546616207,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O
Z2587996506,N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12
Z2235811595,N[C@@H]1CCCCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1
Z2235802256,CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O
Z2235802230,O=C(O)CCCN1CCC(O[C@@H](c2ccc(Cl)cc2)c2ccccn2)CC1
Z3247611631,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)cc3)cc2)[nH]1)C(C)C
Z3313642143,CCOC(=O)[C@@H](C)C[C@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)CCC(=O)O
Z57127446,Nc1ccc(C(=O)O)cc1
Z600425176,CC(=O)OCC[N+](C)(C)C
Z56347226,C=CCc1ccc(O)c(OC)c1
Z1255415487,c1ccc(CC2=NCCN2)cc1
Z2289798095,O=C(O)CC(O)(CC(=O)O)C(=O)O
Z104484866,Nc1ccc(C(=O)NCC(=O)O)cc1
Z1269171738,CN(C)C(=O)Oc1ccc[n+](C)c1
Z57931197,CN(C)c1nc(N(C)C)nc(N(C)C)n1
Z57152562,O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1
Z104477706,CCN(CC)CCNC(=O)c1ccc(N)cc1
Z608061562,Brc1c(NC2=NCCN2)ccc2nccnc12
Z1521553984,COc1ccccc1OCC(O)COC(N)=O
Z228668542,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1
Z2106607416,CNCCCN1c2ccccc2CCc2ccccc21
Z1546610479,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
Z1137167677,CN1C(=C(O)Nc2ccccn2)C(=O)c2ccccc2S1(=O)=O
Z1501485351,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
Z60744762,O=C(Cc1ccc(-c2ccccc2)cc1)Nc1ccccn1
Z2235801948,COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)N(COP(=O)(O)O)C(=O)C(C)(C)O4)n2)cc(OC)c1OC
Z56791187,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)Nc3ccccc32)cc1
Z1589255958,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Z277540138,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
Z2216894329,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O
Z90121065,Nc1ccc(C(=O)O)c(O)c1
Z2242151306,CCCCCCCCCCCCCCCC(=O)NCCO
Z2242164525,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O
Z1255427181,O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
Z2417819627,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
Z2242067488,N[C@@H]1C[C@H]1c1ccccc1
Z2271075295,O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1
Z3243811539,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1
Z2587996962,CC(C)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
Z2315575190,CC(C)=CCC/C(C)=C/CO
Z2417817741,Cn1sc(Cl)cc1=O
Z57127439,NCCCCCC(=O)O
Z362014242,C1N2CN3CN1CN(C2)C3
Z1143441555,CC(=O)N[C@@H](CS)C(=O)O
Z1255431202,O=C(O)[C@@H](S)[C@@H](S)C(=O)O
Z87001124,Cc1ncc([N+](=O)[O-])n1CCO
Z234895119,O=C(O)CCCc1ccccc1
Z104507896,Cn1c(=O)c2c(ncn2C)n(C)c1=O
Z276508890,CS(=O)(=O)OCCCCOS(C)(=O)=O
Z104478412,Oc1ccc(OCc2ccccc2)cc1
Z756440056,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
Z104476858,O=C(O)Cc1ccc(-c2ccccc2)cc1
Z1954802504,CCCCCCCCCCCCCC(=O)O
Z53835984,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1
Z754931256,CC(COc1ccccc1)N(CCCl)Cc1ccccc1
Z56761710,C[n+]1ccc(C(=O)NCc2ccccc2)cc1
Z1521553991,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
Z2429420872,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O
Z2588038976,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O
Z1521553705,N=C(CCSCc1csc(N=C(N)N)n1)NS(N)(=O)=O
Z667611948,COc1cc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc(OC)c1OC
Z2033589790,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
Z1537048897,CC(C)Cc1ccc(C(C)C(=O)NCCO)cc1
Z89277543,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
Z1550648753,Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1
Z1544404500,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21
Z1532717445,Cc1nnc(C(=O)NC(C)(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)o1
Z2242062189,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
Z1546616193,O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1
Z1255434759,CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2
Z2216887959,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C
Z1590790198,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
Z2588039015,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O
Z2681892608,O=S1(=O)CCN(CN2CCS(=O)(=O)NC2)CN1
Z2235802251,Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21
Z756390288,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
Z1515376765,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O
Z2568664267,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1
Z3219503092,CC(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
Z104473900,NC(N)=O
Z248489432,NCCS(=O)(=O)O
Z275128052,O=c1[nH]cc(F)c(=O)[nH]1
Z57127464,Cc1ccc(C(C)C)c(O)c1
Z336079954,NCC1(CC(=O)O)CCCCC1
Z2685925293,CNC1(C)C2CCC(C2)C1(C)C
Z104483432,Oc1c(I)cc(Cl)c2cccnc12
Z756440064,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O
Z1198150288,Nc1cc(-c2ccncc2)c[nH]c1=O
Z1197943321,CCCCCCc1ccc(O)cc1O
Z1269145231,N[C@@H](CSSC[C@H](N)C(=O)O)C(=O)O
Z1486001934,CC[C@@H](CO)NCCN[C@@H](CC)CO
Z56791867,CCN(CC)c1cc(C)nc2ncnn12
Z1556051334,CC(C)(C)NCC(O)c1cc(O)cc(O)c1
Z1235945951,CCOc1ccccc1OCC1CNCCO1
Z274728816,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1
Z227834786,CNCCC=C1c2ccccc2CCc2ccccc21
Z995240796,CN1CCC(=C2c3ccccc3CCc3sccc32)CC1
Z1546610475,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2
Z1551900864,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12
Z2196311163,Cc1ccsc1C(=CCCN1CCC[C@@H](C(=O)O)C1)c1sccc1C
Z32409934,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1
Z3245419176,CN1CCN(C(c2ccccc2)c2ccccc2)CC1
Z2937147473,C[C@@H](O[C@H]1OCCN(Cc2nc(=O)[nH][nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
Z2037280227,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1
Z68563450,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1
Z1551900491,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1
Z1515385088,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](C)O)N(C)C1
Z754918912,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
Z2216898922,COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O
Z2315574782,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1
Z2681891492,O=C1c2c(O)cccc2Cc2cccc(O)c21
Z2681892428,CCc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1
Z1501485370,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O
Z3041519356,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](C(=O)O)c3ccsc3)C(=O)N2[C@H]1C(=O)O
Z2756516923,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C
Z2312380776,CN1C[C@@H]2c3ccccc3Oc3ccc(Cl)cc3[C@H]2C1
Z2238899645,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O
Z1837762189,CCOc1cc([C@@H](CS(C)(=O)=O)N2C(=O)c3cccc(NC(C)=O)c3C2=O)ccc1OC
Z2568665233,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2
Z33546463,NC(=O)c1cccnc1
Z1741972992,NCC(=O)CCC(=O)O
Z2681891170,CC(S)C(=O)NCC(=O)O
Z1741970429,NC[C@H]1CC[C@H](C(=O)O)CC1
Z1255381648,NC(=O)c1nc(F)cnc1O
Z1269228108,O=C(O)CCCC[C@@H]1CCSS1
Z57127532,O=C(O)CCCCCCCC(=O)O
Z203045076,N=C(Nc1ccccc1)Nc1ccccc1
Z372953774,c1coc(CNc2ncnc3nc[nH]c23)c1
Z754918916,COc1c2occc2cc2ccc(=O)oc12
Z56821717,c1ccc2sc(SN3CCOCC3)nc2c1
Z2044793215,Cc1cc(C(=O)NNCc2ccccc2)no1
Z2050011174,CC[N+](C)(C)Cc1ccccc1Br
Z104472626,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1
Z594284186,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1
Z55682028,CC(C)(C)NCC(O)COc1cc(Cl)ccc1Cl
Z57473348,O=C(O)Cn1c2ccccc2c(=O)c2ccccc21
Z212055564,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1
Z57257314,OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1
Z1544404495,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21
