Znumber,smiles,score
Z57257314,OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1,-8.77
Z1544404495,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,-8.329
Z667612124,COc1ccc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc1OC,-7.036
Z1541638525,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,-9.834
Z1557400300,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,-13.493
Z600425184,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,-9.675
Z1258938406,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,-10.255
Z19674820,COC(=O)c1ccc(O)cc1,-5.38
Z3014322079,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,10.0
Z1546616201,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,10.0
Z1734282227,CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1,-9.397
Z2588038982,O=C(O)CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)O)c2)cc1,-7.904
Z2373117814,O=c1ccc2ccc(OCCCCN3CCN(c4cccc5sccc45)CC3)cc2[nH]1,-8.613
Z2235811583,CCCCCCOC(=O)N=C(N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1,10.0
Z2681892334,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)NCCSSCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO,10.0
Z3905817531,CC(C)C[C@@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](N)Cc1ccccc1)C(=O)N[C@H](CCCCN)C(=O)N1CCC(N)(C(=O)O)CC1,10.0
Z2568712703,CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1,-9.542
Z2568723556,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,-8.383
Z3400110582,Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1,-10.488
Z1201617823,COC(F)(F)C(Cl)Cl,-3.794
Z1255461260,CCCCCON=O,-3.514
Z104498572,Nc1ncnc2[nH]cnc12,-5.022
Z57036282,COC(=O)c1cccnc1,-4.526
Z1269141329,O=NN(CCCl)C(=O)NCCCl,-4.37
Z90122510,CC(=O)Nc1ccc(CC(=O)O)cc1,-6.267
Z276509078,O=P1(N(CCCl)CCCl)NCCCO1,-5.277
Z2660640472,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,-5.007
Z2037279821,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,-6.684
Z56821893,CC(C)Nc1ccc(Nc2ccccc2)cc1,-7.759
Z1318255133,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,-8.099
Z1182332248,Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1,-10.036
Z54757159,CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,-10.177
Z1552192759,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,-9.091
Z241910386,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,-11.036
Z324590202,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,-7.5
Z1879263740,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,-6.498
Z1741976994,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,-9.042
Z1741980843,Cc1cccc(C)c1NC(=O)C1CCCCN1C,-7.427
Z1554104509,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,-7.706
Z2511727314,Cc1cc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)no1,-9.343
Z2587996507,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,-7.364
Z2417819564,O=C(O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c(O)c(I)cc12,2.662
Z1304065033,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,-9.473
Z2235801846,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O,-11.628
Z3014475009,CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1,-8.888
Z2588063492,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,-11.608
Z2588038957,CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12,-8.343
Z2636644167,CC(C)OC(=O)[C@H](C)N[P@](=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)Oc1ccccc1,-8.183
Z1245537944,C1CNCCN1,-3.266
Z104473820,Cc1cccc(O)c1,-5.072
Z1522567174,NC12CC3CC(CC(C3)C1)C2,-5.46
Z1269201561,CC(O)(P(=O)(O)O)P(=O)(O)O,-4.397
Z756438860,CC(=O)N[C@@H](CC(C)C)C(=O)O,-4.874
Z1255464975,Oc1ccnc2cc(Cl)ccc12,-6.416
Z85888809,CC(C)(C)C(=O)NCCCC(=O)O,-5.361
Z1255430959,CC1=CC(=O)c2ccccc2C1=O,-7.008
Z728800602,CC(=O)N=c1sc(S(N)(=O)=O)nn1C,-5.792
Z1269224929,CC(C)(CO)[C@@H](O)C(=O)NCCCO,-4.997
Z104493598,Cn1c(=O)c2c(ncn2CCO)n(C)c1=O,-6.121
Z1741982569,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,-9.298
Z2037280409,COC(=O)Nc1nc2cc(C(=O)c3ccc(F)cc3)ccc2[nH]1,-8.96
Z2216887910,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,-10.253
Z1545310764,CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC,-6.572
Z1546624232,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,-11.7
Z2074910255,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,-13.472
Z252849348,CCN(CC)CCOC(=O)C1(c2ccccc2)CCCC1,-7.376
Z2108699066,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,10.0
Z1501475008,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,-9.914
Z2311574250,CNCCCC12CCC(c3ccccc31)c1ccccc12,-9.192
Z1954801710,O=C(O)c1ccccc1O,-5.323
Z2574931930,CN(C)CCOC(C)(c1ccccc1)c1ccc(Br)cc1,-7.456
Z1203159860,O=c1cccc2n1C[C@@H]1CNC[C@H]2C1,-6.711
Z1501485367,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,-10.091
Z3041521791,Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](OC=O)c3ccccc3)[C@H]2SC1,-8.13
Z2724205326,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,-7.363
Z2379810072,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,10.0
Z2568748600,Cc1ccc(-n2[nH]c(C)c(N/N=C3/C=CC=C(c4cccc(C(=O)O)c4)C3=O)c2=O)cc1C,-10.423
Z1089877620,O=C1CCO1,-2.637
Z104475620,NCCCC(=O)O,-3.729
Z2289798098,C[N+](C)(C)CC(=O)[O-],-3.271
Z57127480,O=C(O)c1ccccc1,-5.185
Z995084132,N[C@@H](CC(=O)O)C(=O)O,-4.391
Z1201624655,O=c1cc(O)c(Cl)c[nH]1,-4.634
Z382721012,Cc1ncc(CO)c(CO)c1O,-5.402
Z1741977143,CNCC(O)c1ccc(O)cc1,-5.834
Z275534804,NC(N)=NS(=O)(=O)c1ccc(N)cc1,-6.416
Z90123586,CNC(=O)Oc1cccc2ccccc12,-7.228
Z1558572526,CC(C)N=C(N)N=C(N)Nc1ccc(Cl)cc1,-7.15
Z301111588,OC[C@@H](O)CN1CCN(c2ccccc2)CC1,-6.871
Z1530425063,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,-8.686
Z1878131003,CC(O)=C(C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,-7.316
Z1269642575,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-8.921
Z1575271347,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O,-7.39
Z1515385084,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,-7.939
Z51093246,Cn1c(=O)c2c(ncn2CCOC(=O)C(C)(C)Oc2ccc(Cl)cc2)n(C)c1=O,-8.432
Z277942268,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],-6.82
Z56754489,c1ccc2sc(SSc3nc4ccccc4s3)nc2c1,-8.393
Z1541759894,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CCCCC1,-10.042
Z2065671138,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,-7.484
Z608353986,CCOC(=O)CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C,10.0
Z1501480421,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,-7.504
Z2512943095,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,-10.281
Z57206005,O=C(Oc1ccccc1)c1ccccc1O,-7.547
Z2681891229,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)c1c[nH]c3ccccc13)C2,-9.014
Z2235811359,CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,-7.421
Z2235801852,COCCCN1CCC(NC(=O)c2cc(Cl)c(N)c3c2OCC3)CC1,-7.701
Z1980444595,O=C(O[C@H]1C[C@H]2CC[C@@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,-9.104
Z3025867248,COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5C=CCCCCN(C)C(=O)[C@@H]4C3)cc(-c3nc(C(C)C)cs3)nc2c1C,10.0
Z2235802036,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2,-7.67
Z2568587997,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,-7.863
Z2568648411,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,10.0
Z2654188035,O=C(O)CNC(=O)C1C(=O)N(C2CCCCC2)C(=O)N(C2CCCCC2)C1=O,-9.308
Z594284202,O=S(=O)(O)CCS,-3.065
Z56889474,O=c1cc[nH]c(=O)[nH]1,-4.416
Z1255390571,NCC(O)CC(=O)O,-4.097
Z203045042,Cc1cc(O)nc(S)n1,-4.599
Z1147215595,CSCC[C@@H](N)C(=O)O,-3.793
Z756440074,NC(=O)CC[C@H](N)C(=O)O,-4.542
Z56946051,CC(=O)Nc1ccc(O)cc1,-5.32
Z1550648764,c1ccc([C@H]2CN3CCSC3=N2)cc1,-6.208
Z1269175922,O=C(O)c1cc(O)c(O)c(O)c1,-5.52
Z104473192,CC(=O)OCC(COC(C)=O)OC(C)=O,-4.845
Z44530398,CCCNC(C)C(=O)Nc1ccccc1C,-6.454
Z104477882,Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O,-6.447
Z1259021151,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,-7.49
Z1497043450,Cc1ccc(Cl)c(OCC(O)CNC(C)(C)C)c1,-6.942
Z28251506,COc1cc(C(=O)N2CCOCC2)cc(OC)c1OC,-6.854
Z2241984977,Cc1cnc(NC(=O)C2C(=O)c3ccccc3S(=O)(=O)N2C)s1,-8.188
Z1501485356,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,-8.248
Z1631505638,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,-8.552
Z2025569265,Nc1nc2c(ncn2CCC(CO)CO)c(=O)[nH]1,-6.632
Z221101674,CC(C)N(CCNC(=O)CN1CCCC1=O)C(C)C,-6.192
Z1541759501,O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1,-9.008
Z1541759504,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,-8.942
Z3234818655,C[C@H]1COc2c(C3(N)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,-9.024
Z57176222,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,-9.357
Z2588040194,C[C@H]1[C@H](OC(=O)CCC(=O)O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,-9.927
Z2315576239,CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,-9.128
Z2588040198,CCOC(=O)N=C1CN(N2CCOCC2)NO1,-6.448
Z2583141806,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)/C(=N/OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,10.0
Z600419582,Cc1cn[nH]c1,-3.553
Z1198154206,N[C@@H]1CONC1=O,-3.754
Z104474598,COc1ccc(O)cc1,-4.77
Z104477910,Cc1cc(O)ccc1Cl,-5.362
Z104486690,NC(=O)NC1NC(=O)NC1=O,-5.084
Z56926518,Oc1cccc2cccnc12,-6.105
Z57953030,CC=Cc1ccc(O)c(OC)c1,-5.829
Z118438370,N=C(N)N1CCc2ccccc2C1,-6.81
Z995094004,OCC(O)COc1ccc(Cl)cc1,-5.818
Z56869297,Cc1cc(=O)n(-c2ccccc2)n1C,-7.013
Z104475058,Cc1ccc2c(Cl)cc(Cl)c(O)c2n1,-7.249
Z49560608,NC(=O)NN=Cc1ccc([N+](=O)[O-])o1,-5.685
Z1269240018,Cc1ncc([N+](=O)[O-])n1CC(O)CCl,-5.253
Z104473910,CCN(CC)C(=S)SSC(=S)N(CC)CC,-5.103
Z104508594,NC(=O)N1c2ccccc2C=Cc2ccccc21,-12.896
Z275128596,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,-8.86
Z104477466,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,-7.97
Z55135799,CCN(CC)CC(=O)Nc1c(C)cccc1C,-6.706
Z1541759893,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,-6.624
Z1544404028,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,-10.556
Z275127478,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,-8.682
Z210803762,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,-6.034
Z1521553906,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,-8.98
Z2379810069,CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O,-11.082
Z2301287926,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,-6.838
Z2588040192,N#Cc1c(N(CC(=O)O)CC(=O)O)sc(C(=O)O)c1CC(=O)O,-6.121
Z2587996957,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,-10.053
Z1546616198,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,-8.065
Z2587996508,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,-8.153
Z2289798859,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)C=C(C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)C=CC=CC=C1C,10.0
Z2574927887,O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccccc1,-10.01
Z1546610488,Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O,-7.052
Z3241270511,O=C1[C@@H]2[C@H]3CC[C@H](C3)[C@@H]2C(=O)N1C[C@@H]1CCCC[C@H]1CN1CCN(c2nsc3ccccc23)CC1,-10.12
Z2588040125,CCC(=O)NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1,-8.607
Z2311825421,O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,-8.697
Z2568613921,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,-9.221
Z104495622,OCc1cccnc1,-4.552
Z982131798,CC(C)(O)CC(=O)O,-3.922
Z56865289,NC(=O)CN1CCCC1=O,-4.556
Z756440052,N[C@@H](CCC(=O)O)C(=O)O,-4.614
Z56851240,Nc1ccc(S(N)(=O)=O)cc1,-5.493
Z3066893590,O=C(O)c1nc(=O)[nH]c(=O)[nH]1,-5.303
Z1255372738,O=C(CO)[C@@H](O)[C@H](O)[C@H](O)CO,-4.65
Z756440046,N[C@@H](Cc1ccc(O)cc1)C(=O)O,-5.954
Z56854345,O=C(O)CCNC(=O)c1ccccc1,-6.098
Z1695759754,Clc1cccc(Cl)c1NC1=NCCN1,-6.199
Z1592709025,N=C(N)NCC1COC2(CCCCC2)O1,-6.474
Z381346304,O=C(O)c1ccccc1NCCc1ccccc1,-7.867
Z56791687,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,-7.589
Z99601262,COc1ccc(CN2CCNCC2)c(OC)c1OC,-6.499
Z56786458,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,-8.472
Z2315582665,CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1,-6.924
Z285140914,COc1cc(C(=O)NC2CCCNC2)cc(OC)c1OC,-7.108
Z1515385071,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,-7.06
Z1575081875,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,-8.3
Z1501480423,CCCCCNC(=N)NN=Cc1c[nH]c2ccc(OC)cc12,-7.659
Z1521553472,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,-9.373
Z1501475006,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,-8.484
Z1515385087,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,-7.922
Z1650127771,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(OC(F)(F)F)cc1)C2,-7.461
Z2037279612,Cc1ccccc1-c1cc(N2CCN(C)CC2)ncc1N(C)C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,-9.273
Z2568619526,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,-8.842
Z1551627167,NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O,10.0
Z2065671220,Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1,-9.519
Z759291658,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,-7.579
Z2185274784,O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2,-9.177
Z19674825,O=C(OCc1ccccc1)c1ccc(O)cc1,-7.562
Z2315585555,COC(=O)/C=C/C(=O)O,-3.986
Z2289798161,CC(C)(C(=O)c1cccnc1)c1cccnc1,-7.33
Z3041510496,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,-5.208
Z2681891941,Cc1cncc(CN2CCC(=C3c4ccc(Cl)cc4CCc4cccnc43)CC2)c1,-15.989
Z2568647847,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,-7.096
Z2568644345,CC1=C(C/C=C(\C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(=O)c2ccccc2C1=O,-8.557
Z2583154272,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1,-7.469
Z104473554,CC(C)(O)C(Cl)(Cl)Cl,-4.161
Z104473974,O=C(O)C(O)c1ccccc1,-5.573
Z104473074,CC12CCC(CC1=O)C2(C)C,-5.487
Z50145861,CC1=NN(c2ccccc2)C(=O)C1,-6.565
Z56922101,O=C(O)c1cc(=O)c2ccccc2o1,-6.815
Z57127477,O=[N+]([O-])c1ccc(-c2ccccc2)cc1,-7.564
Z1888397835,O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1,-7.907
Z1521553578,CCCN(CCC)CCc1cccc2c1CC(=O)N2,-7.203
Z1552153009,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,-6.455
Z91274084,O=C1CN(N=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,-8.46
Z1546616204,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,-8.364
Z57355370,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,-8.728
